Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,95,101,106,112,125,47,50
(blank),Travel,US$ Millions,(blank),IMF,23,26,27,29,30,31,32,33,35,38,40,45,52,58,54,51,49,49,50,66,70,77,82,87,101,40,43
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,24,24,25,24,7,7
ARGENTINA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,"4,436","4,481","4,533","4,928","5,425","5,793","6,083","7,676","8,295","9,844","10,022","13,159","18,645","21,583","18,411","15,352","4,087","1,074"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),"3,815","4,296","4,517","4,592","4,786","4,953","4,762","3,008","3,088","3,904","3,894","3,892","4,167","4,614","4,981","5,307","6,686","7,266","6,746","6,517","7,807","10,417","12,213","11,130","9,114","2,841",833
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,532,587,641,761,811,812,776,990,"1,029","3,098","3,505","5,352","8,228","9,370","7,281","6,238","1,246",241
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"4,013","4,449","4,973","5,282","5,228","5,460","4,888","2,744","2,997","3,208","3,554","4,047","5,077","5,987","5,808","6,448","7,602","8,466","8,421","7,837","9,348","12,273","14,180","13,084","9,845","3,299","1,894"
(blank),Travel,US$ Millions,2/,IMF,"3,278","3,584","3,962","4,230","4,195","4,425","3,893","2,328","2,511","2,604","2,790","3,108","3,935","4,586","4,536","4,951","5,667","6,117","5,932","5,983","6,982","9,679","11,378","10,670","7,850","2,893","1,366"
(blank),Passenger transport,US$ Millions,(blank),IMF,735,865,"1,011","1,052","1,033","1,035",995,416,486,604,764,939,"1,142","1,401","1,272","1,497","1,935","2,349","2,489","1,854","2,366","2,594","2,802","2,414","1,995",406,528
ARMENIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,111,110,131,169,221,269,329,468,516,526,563,715,965,"1,083","1,198","1,187","1,263","1,482","1,623","1,868",346,423
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,"1,007","1,101","1,057","1,033","1,218","1,335","1,543",301,514
(blank),Travel,US$ Millions,(blank),IMF,3,22,41,41,37,40,40,54,67,162,207,265,379,435,443,579,687,803,930,"1,024",996,981,"1,163","1,282","1,489",278,466
(blank),Passenger transport,US$ Millions,(blank),IMF,9,4,4,14,14,16,19,31,30,37,48,35,51,59,53,62,69,71,77,77,61,52,55,53,54,23,48
ARUBA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,350,357,319,349,394,399,285,339
(blank),Travel,US$ Millions,(blank),IMF,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,320,329,342,319,349,381,389,281,333
(blank),Passenger transport,US$ Millions,(blank),IMF,6,8,5,5,11,17,21,13,25,30,24,23,19,22,21,18,18,19,22,21,15,0,0,13,10,4,6
AUSTRALIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),"2,519","2,732","2,933","3,161","3,210","3,498","3,443","3,461","3,388","4,369","4,756","4,941","5,462","5,808","6,276","7,103","7,788","8,212","9,052","9,480","9,810","10,390","10,932","11,403","11,624","2,832",301
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"7,605","8,545","8,880","8,307","8,798","9,065","8,184","8,640","10,434","14,702","16,153","17,293","22,052","25,557","22,680","27,851","33,967","35,226","40,732","38,827","34,071","35,718","39,710","42,438","41,345","7,817","1,797"
(blank),Travel,US$ Millions,(blank),IMF,"5,165","5,920","6,261","5,930","6,181","6,388","5,735","5,963","7,337","10,667","11,749","12,537","16,454","19,617","18,738","22,558","27,371","28,078","34,110","33,284","29,190","30,839","34,470","36,953","35,968","6,646",972
(blank),Passenger transport,US$ Millions,(blank),IMF,"2,440","2,625","2,619","2,377","2,617","2,677","2,449","2,677","3,097","4,035","4,404","4,756","5,598","5,940","3,942","5,293","6,596","7,148","6,622","5,543","4,881","4,879","5,240","5,485","5,377","1,171",825
AUSTRIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),0,0,0,0,0,"7,528","8,350","8,266","8,384","8,371","8,206","10,042","9,876","9,677","10,121","9,882","9,874","10,960","10,671","10,994","10,628","11,534","11,491","11,043","11,902","3,964","7,522"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"11,686","11,777","10,672","10,399","7,517","7,001","7,408","7,743","9,761","10,812","11,077",0,0,0,0,0,0,0,0,0,"11,337","11,634","12,878","14,110","13,991","5,157","8,245"
